sepal_length,sepal_width,petal_length,petal_width
5.1,3.5,1.4,0.2
4.9,3.0,1.4,0.2
6.7,3.0,5.0,1.7
4.7,3.2,1.3,0.2
4.6,3.1,1.5,0.2
5.0,3.6,1.4,0.2
5.4,3.9,1.7,0.4
6.7,3.0,5.0,1.7
6.3,2.5,5.0,1.9
4.6,3.4,1.4,0.3
5.0,3.4,1.5,0.2
4.4,2.9,1.4,0.2
6.5,3.0,5.2,2.0
4.9,3.1,1.5,0.1
5.4,3.7,1.5,0.2
4.8,3.4,1.6,0.2
4.8,3.0,1.4,0.1
4.3,3.0,1.1,0.1
5.8,4.0,1.2,0.2
5.7,4.4,1.5,0.4
5.4,3.9,1.3,0.4
5.1,3.5,1.4,0.3
5.7,3.8,1.7,0.3
5.1,3.8,1.5,0.3
5.4,3.4,1.7,0.2
5.1,3.7,1.5,0.4
4.6,3.6,1.0,0.2
6.4,2.7,5.3,1.9
6.9,3.1,5.4,2.1
6.7,3.1,5.6,2.4
5.1,3.3,1.7,0.5
5.7,3.2,4.7,1.4
5.5,3.2,4.5,1.5
5.5,3.1,4.9,1.5
5.0,2.3,4.0,1.3
5.5,2.8,4.6,1.5
5.1,2.8,4.5,1.3
6.0,3.3,4.7,1.6
5.1,2.4,3.3,1.0
5.6,2.9,4.6,1.3
5.1,2.7,3.9,1.4
