,Survived,Sex,Age,SibSp,Parch,Fare,1,2,3,C,Q,S
0,0,1,34.5,0,0,7.8292,0,0,1,0,1,0
1,1,0,47.0,1,0,7.0,0,0,1,0,0,1
2,0,1,62.0,0,0,9.6875,0,1,0,0,1,0
3,0,1,27.0,0,0,8.6625,0,0,1,0,0,1
4,1,0,22.0,1,1,12.2875,0,0,1,0,0,1
5,0,1,14.0,0,0,9.225,0,0,1,0,0,1
6,1,0,30.0,0,0,7.6292,0,0,1,0,1,0
7,0,1,26.0,1,1,29.0,0,1,0,0,0,1
8,1,0,18.0,0,0,7.2292,0,0,1,1,0,0
9,0,1,21.0,2,0,24.15,0,0,1,0,0,1
10,0,1,27.0,0,0,7.8958,0,0,1,0,0,1
11,0,1,46.0,0,0,26.0,1,0,0,0,0,1
12,1,0,23.0,1,0,82.2667,1,0,0,0,0,1
13,0,1,63.0,1,0,26.0,0,1,0,0,0,1
14,1,0,47.0,1,0,61.175,1,0,0,0,0,1
15,1,0,24.0,1,0,27.7208,0,1,0,1,0,0
16,0,1,35.0,0,0,12.35,0,1,0,0,1,0
17,0,1,21.0,0,0,7.225,0,0,1,1,0,0
18,1,0,27.0,1,0,7.925,0,0,1,0,0,1
19,1,0,45.0,0,0,7.225,0,0,1,1,0,0
20,0,1,55.0,1,0,59.4,1,0,0,1,0,0
21,0,1,9.0,0,1,3.1708,0,0,1,0,0,1
22,1,0,27.0,0,0,31.6833,1,0,0,0,0,1
23,0,1,21.0,0,1,61.3792,1,0,0,1,0,0
24,1,0,48.0,1,3,262.375,1,0,0,1,0,0
25,0,1,50.0,1,0,14.5,0,0,1,0,0,1
26,1,0,22.0,0,1,61.9792,1,0,0,1,0,0
27,0,1,22.5,0,0,7.225,0,0,1,1,0,0
28,0,1,41.0,0,0,30.5,1,0,0,0,0,1
29,0,1,27.0,2,0,21.6792,0,0,1,1,0,0
30,0,1,50.0,1,0,26.0,0,1,0,0,0,1
31,0,1,24.0,2,0,31.5,0,1,0,0,0,1
32,1,0,33.0,1,2,20.575,0,0,1,0,0,1
33,1,0,27.0,1,2,23.45,0,0,1,0,0,1
34,0,1,30.0,1,0,57.75,1,0,0,1,0,0
35,0,1,18.5,0,0,7.2292,0,0,1,1,0,0
36,1,0,27.0,0,0,8.05,0,0,1,0,0,1
37,1,0,21.0,0,0,8.6625,0,0,1,0,0,1
